frames,Points
1,0
1,0
6,0
7,0
14,0
15,0
31,0
63,0
95,0
126,0
127,0
131,0
134,0
135,0
137,0
138,0
139,0
140,0
141,0
143,0
144,0
146,0
147,0
150,0
151,0
153,0
154,0
155,0
157,0
158,0
159,0
161,0
163,0
164,0
167,0
170,0
171,0
173,0
174,0
175,0
177,0
178,0
179,0
180,0
182,0
183,0
186,0
187,0
190,0
191,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
206,0
207,0
223,0
255,0
287,0
303,0
311,0
315,0
319,0
322,0
323,0
324,0
325,0
326,0
327,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
337,0
338,0
339,0
342,0
343,0
346,0
347,0
349,0
350,0
351,0
352,0
353,0
355,0
358,0
359,0
363,0
367,0
370,0
371,0
373,0
375,0
378,0
379,0
381,0
383,0
384,0
387,0
390,0
391,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
421,0
422,0
423,0
425,0
426,0
427,0
430,0
431,0
435,0
439,0
443,0
447,0
451,0
455,0
459,0
463,0
467,0
471,0
475,0
479,0
487,0
491,0
495,0
499,0
502,0
503,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
538,0
539,0
543,0
546,0
547,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
558,0
559,0
575,0
639,0
671,0
679,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
707,0
709,0
710,0
711,0
712,0
713,0
715,0
718,0
719,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
737,0
738,0
739,0
740,0
742,0
743,0
745,0
746,0
747,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
799,0
831,0
863,0
894,0
895,0
927,0
959,0
991,0
999,0
